Start: "D:\Program Files\Pro-EMFATIC\Pro-EMFATIC for Femap v3.2 32-bit\Pro-EMFATIC.exe"
Shell Create: Femap with NX Nastran - [Model1] - [Untitled]
Shell Create: 
LeftMouseDown: "Connect""menu item" 7405109
LeftMouseUp: "Connect""menu item" 7405234
LeftMouseDown: "Mesh""menu item" 7407640
LeftMouseUp: "Mesh""menu item" 7407765
LeftMouseDown: "Modify""menu item" 7408578
LeftMouseUp: "Modify""menu item" 7408703
LeftMouseDown: "List""menu item" 7411015
LeftMouseUp: "List""menu item" 7411125
LeftMouseDown: "Delete""menu item" 7411687
LeftMouseUp: "Delete""menu item" 7411796
LeftMouseDown: "Group""menu item" 7412546
LeftMouseUp: "Group""menu item" 7412656
LeftMouseDown: "View""menu item" 7413375
LeftMouseUp: "View""menu item" 7413468
LeftMouseDown: "Geometry""menu item" 7414828
LeftMouseUp: "Geometry""menu item" 7414906
LeftMouseDown: "Connect""menu item" 7415625
LeftMouseUp: "Connect""menu item" 7415703
LeftMouseDown: "Model""menu item" 7416234
LeftMouseUp: "Model""menu item" 7416359
LeftMouseDown: "Modify""menu item" 7416937
LeftMouseUp: "Modify""menu item" 7417062
LeftMouseDown: "List""menu item" 7417984
LeftMouseUp: "List""menu item" 7418171
LeftMouseDown: "Delete""menu item" 7419140
LeftMouseUp: "Delete""menu item" 7419250
LeftMouseDown: "Group""menu item" 7419937
LeftMouseUp: "Group""menu item" 7420015
LeftMouseDown: "View""menu item" 7420984
LeftMouseUp: "View""menu item" 7421187
LeftMouseDown: "Window""menu item" 7421890
LeftMouseUp: "Window""menu item" 7422046
LeftMouseDown: "Window""menu item" 7422921
LeftMouseUp: "Window""menu item" 7423046
LeftMouseDown: "Connection Property...""menu item" 7426343
LeftMouseUp: "Connection Property...""menu item" 7426500
Activate: ""Define Connection Property""window""
LeftMouseDown: "Friction""text" 7429484
LeftMouseUp: "Friction""text" 7429656
LeftMouseDown: "Friction""edit" 7432281
LeftMouseUp: "Friction""edit" 7432421
LeftMouseDown: "Friction""edit" 7433921
LeftMouseUp: "Friction""edit" 7435062
LeftMouseDown: "Friction""edit" 7436031
LeftMouseUp: "Friction""edit" 7436156
